index,case_id,slice_id,mean_dice,mean_iou,present_gt_classes,present_pred_classes
0,img0002,img0002_slice0006,0.0,0.0,,
1,img0002,img0002_slice0008,0.0,0.0,,
2,img0002,img0002_slice0028,0.0,0.0,,"2,3"
3,img0002,img0002_slice0043,0.0,0.0,,8
4,img0002,img0002_slice0047,0.0,0.0,,8
5,img0002,img0002_slice0061,0.0,0.0,,
6,img0002,img0002_slice0064,0.0,0.0,9,
7,img0002,img0002_slice0065,0.0,0.0,9,
8,img0002,img0002_slice0066,0.0,0.0,9,8
9,img0002,img0002_slice0067,0.3214285714158163,0.23684210524930746,"8,9",8
10,img0002,img0002_slice0068,0.2762762762679797,0.19087136928668583,"8,9",8
11,img0002,img0002_slice0069,0.3046357615793167,0.2190476190371882,"8,9",8
12,img0002,img0002_slice0070,0.25796178343127507,0.1738197424818103,"8,9",8
13,img0002,img0002_slice0071,0.26243093921926985,0.17790262171618343,"8,9",8
14,img0002,img0002_slice0072,0.2424242424181206,0.15999999999466666,"8,9",8
15,img0002,img0002_slice0073,0.11980676328155149,0.07302709069235476,"2,8,9","8,9"
16,img0002,img0002_slice0074,0.18607040958802967,0.11652930402452355,"2,8,9","3,8,9"
17,img0002,img0002_slice0075,0.11370178468336292,0.07273065475956937,"2,8,9","3,8,9"
18,img0002,img0002_slice0076,0.2333257325198158,0.15311771561105653,"2,8,9","3,8,9"
19,img0002,img0002_slice0077,0.1273484848448359,0.07945570702476872,"2,8,9","3,8,9"
20,img0002,img0002_slice0078,0.21501186707997083,0.15346182633848154,"2,6,8,9","3,8,9"
21,img0002,img0002_slice0079,0.2568996415677377,0.18930481282410133,"2,6,8,9","3,8,9"
22,img0002,img0002_slice0080,0.5212067350905216,0.43676242907836094,"2,6,8,9,14","2,4,6,8,9"
23,img0002,img0002_slice0081,0.4950793667113541,0.4383657175430615,"2,3,6,8,9,14","2,3,4,6,8,9"
24,img0002,img0002_slice0082,0.47787147452342665,0.42202331700736756,"2,3,6,8,9,14","2,4,6,8,9"
25,img0002,img0002_slice0083,0.4877024389770767,0.44122532951709553,"2,3,6,8,9,14","2,3,4,6,8,9"
26,img0002,img0002_slice0084,0.4808146584538376,0.43513665453438494,"2,3,6,8,9,14","2,3,4,6,8,9"
27,img0002,img0002_slice0085,0.6593250630927976,0.6157115147024681,"2,3,6,8,9,14","2,3,4,6,8,9"
28,img0002,img0002_slice0086,0.7489096308112794,0.6936377183945409,"2,3,4,6,8,9,14","2,3,4,6,8,9,14"
29,img0002,img0002_slice0087,0.7638727052129466,0.7006476849865403,"2,3,4,6,7,8,9,14","2,3,4,6,7,8,9,14"
30,img0002,img0002_slice0088,0.7737550615678073,0.7117033645618219,"2,3,4,6,7,8,9,14","2,3,4,6,7,8,9,11,14"
