index,case_id,slice_id,mean_dice,mean_iou,present_gt_classes,present_pred_classes
0,img0002,img0002_slice0006,0.0,0.0,,6
1,img0002,img0002_slice0008,0.0,0.0,,"2,6"
2,img0002,img0002_slice0028,0.0,0.0,,2
3,img0002,img0002_slice0043,0.0,0.0,,"6,8"
4,img0002,img0002_slice0047,0.0,0.0,,6
5,img0002,img0002_slice0061,0.0,0.0,,6
6,img0002,img0002_slice0064,0.44110275688117534,0.39461883406302156,9,"6,9"
7,img0002,img0002_slice0065,0.3172995780510388,0.30273752011419947,9,"2,6,9"
8,img0002,img0002_slice0066,0.30476190475222975,0.21917808218177268,9,"6,9"
9,img0002,img0002_slice0067,0.40193326269305674,0.26542381410204363,"8,9","8,9"
10,img0002,img0002_slice0068,0.5043122511893731,0.3432969215256245,"8,9","8,9"
11,img0002,img0002_slice0069,0.9269519901381942,0.8660416666016415,"8,9","8,9"
12,img0002,img0002_slice0070,0.624542897301444,0.5878765247238881,"8,9","2,8,9"
13,img0002,img0002_slice0071,0.9556844038330292,0.9156902186874335,"8,9","8,9"
14,img0002,img0002_slice0072,0.6251649861644832,0.5902526203509458,"8,9","5,8,9"
15,img0002,img0002_slice0073,0.37400883040430477,0.29471774425857367,"2,8,9","2,8,9,14"
16,img0002,img0002_slice0074,0.5097358999492544,0.41491434570650865,"2,8,9","2,5,8,9"
17,img0002,img0002_slice0075,0.8439106282832847,0.7370975990540399,"2,8,9","2,8,9"
18,img0002,img0002_slice0076,0.8031059916817239,0.6882972180189104,"2,8,9","2,8,9"
19,img0002,img0002_slice0077,0.5340612796509803,0.48407709901837104,"2,8,9","2,6,8,9"
20,img0002,img0002_slice0078,0.7915952877215089,0.7296990084777053,"2,6,8,9","2,6,8,9"
21,img0002,img0002_slice0079,0.8732812053697191,0.7944980852731294,"2,6,8,9","2,6,8,9"
22,img0002,img0002_slice0080,0.6970747622576551,0.63686813026904,"2,6,8,9,14","2,6,8,9"
23,img0002,img0002_slice0081,0.5811891594336847,0.5180515490277163,"2,3,6,8,9,14","2,6,8,9"
24,img0002,img0002_slice0082,0.5826583272313647,0.5015653516473374,"2,3,6,8,9,14","2,4,6,8,9,14"
25,img0002,img0002_slice0083,0.6031632459966207,0.5335867730103333,"2,3,6,8,9,14","2,4,6,8,9,14"
